	US10063773_254606410403_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606411109_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_2 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410403_S01_miRNA_107_Sep09_2_3 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_4 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_4 - 1
hsa-miR-215	7.623	7.851	8.163	7.987	8.357	8.198	8.597	9.091	7.385	8.243	8.357	8.057	8.528	8.816	8.597	8.357	9.056	8.897	8.243	8.478	8.973	8.766	8.163	8.816	8.816	8.716	8.357	8.276
hsa-miR-3651	4.501	4.501	5.217	4.323	4.613	5.269	5.051	5.594	4.748	4.264	4.881	5.557	4.892	4.995	4.881	4.099	5.176	5.176	5.014	5.251	4.719	4.385	3.777	4.553	4.685	4.613	5.335	4.763
hsa-miR-4535	3.459	2.734	NA	2.942	2.141	NA	NA	NA	NA	1.818	NA	NA	NA	0.982	NA	1.05	NA	NA	NA	NA	3.048	2.505	NA	NA	NA	NA	NA	NA
hsa-miR-513a-5p	5.306	4.6	4.763	5.269	4.79	4.624	4.553	5.681	4.543	6.294	4.774	4.734	5.014	4.719	5.468	5.352	4.922	5.136	4.701	5.051	4.822	5.014	5.176	4.892	5.335	4.822	5.041	4.922
hsa-miR-4667-5p	3.449	2.779	2.321	3.404	2.359	2.256	NA	1.527	1.615	2.723	1.337	NA	NA	0.726	NA	2.031	NA	NA	NA	NA	3.096	2.599	NA	2.222	NA	1.615	NA	NA
hsa-miR-188-5p	5.557	5.176	4.464	4.719	4.806	4.464	4.906	4.922	6.865	5.983	5.051	4.96	4.571	4.187	4.892	5.826	4.624	4.543	4.79	4.685	4.806	4.822	5.514	4.833	5.269	5.153	4.822	5.217
hsa-miR-1183	2.484	2.044	NA	3.438	1.818	NA	NA	NA	2.823	NA	NA	NA	NA	NA	NA	3.025	NA	NA	NA	NA	1.21	0.543	NA	NA	NA	NA	NA	2.141
hsa-miR-664a-5p	4.008	1.671	NA	-0.071	0.708	NA	NA	NA	NA	1.258	1.877	2.245	NA	0.737	NA	NA	NA	2.321	NA	2.697	2.443	0.982	NA	1.671	NA	0.601	2.613	NA
hsa-miR-503-5p	1.737	1.864	1.788	NA	1.527	3.015	NA	2.697	0.649	NA	1.258	1.512	2.222	0.297	NA	NA	2.302	NA	2.599	NA	2.126	0.163	NA	NA	NA	1.914	1.914	NA
hsa-miR-3605-5p	0.425	NA	NA	2.87	-0.007	NA	NA	NA	NA	NA	NA	NA	1.709	0.552	NA	2.638	NA	NA	NA	NA	NA	0.726	NA	NA	NA	NA	NA	NA
hsa-miR-4280	2.538	-0.239	2.464	1.818	0.649	NA	NA	1.113	0.708	1.938	1.09	1.397	1.914	1.864	3.267	0.997	1.29	1.29	1.467	NA	2.413	1.737	2.484	0.982	NA	0.383	2.302	1.645
hsa-miR-4792	3.812	3.459	2.427	1.976	2.779	NA	1.603	NA	2.804	3.131	3.673	2.464	1.588	0.863	NA	3.107	1.527	2.182	NA	NA	NA	2.393	NA	NA	NA	NA	NA	2.336
hsa-miR-4313	2.013	2.126	3.107	0.495	NA	3.825	2.583	2.932	0.982	2.894	2.638	NA	NA	2.359	3.143	2.505	2.905	2.792	1.737	NA	2.375	1.818	3.471	2.844	2.976	2.761	3.06	2.858
hsa-miR-6069	2.57	2.245	3.073	0.965	-0.419	4.167	2.519	2.654	0.945	2.222	2.712	1.645	NA	1.725	NA	2.141	2.57	1.615	2.761	NA	2.624	NA	2.654	2.712	2.905	2.57	3.037	1.818
hsa-miR-4651	4.356	4.008	3.61	4.073	3.471	2.613	3.06	3.517	4.045	4.734	3.863	3.825	3.06	2.844	2.844	3.762	3.073	2.932	3.309	3.187	3.367	3.187	3.497	2.792	3.155	2.834	3.241	3.825
hsa-miR-214-5p	NA	NA	NA	NA	2.942	NA	2.359	2.044	1.818	NA	1.512	NA	2.013	1.467	NA	1.725	2.484	2.013	NA	NA	0.982	1.588	NA	1.938	2.256	2.964	NA	NA
hsa-miR-3137	4.033	3.928	3.963	3.834	3.358	3.567	3.404	3.917	3.622	3.928	3.641	3.847	4.099	3.755	4.226	3.755	3.459	3.331	3.567	4.167	4.253	4.008	3.663	3.721	3.673	3.622	4.41	3.8
hsa-miR-5194	3.567	4.397	4.385	3.825	5.041	3.928	4.119	4.187	3.788	4.79	4.264	4.213	4.624	4.849	4.806	3.812	4.515	4.701	5.492	4.306	4.515	4.806	4.719	4.084	4.119	4.13	4.6	4.41
hsa-miR-378b	2.638	3.331	3.254	3.241	4.099	NA	2.999	2.882	2.321	3.254	2.976	2.87	3.622	4.059	3.742	1.694	3.166	3.554	3.387	NA	3.205	4.119	NA	2.654	NA	2.914	3.554	3.29
hsa-miR-4746-3p	4.119	3.762	3.48	4.199	3.697	3.542	3.254	4.059	3.459	3.89	3.98	3.952	3.29	2.894	3.632	4.13	3.331	3.267	3.98	3.48	3.025	3.345	3.28	2.999	3.387	3.187	3.599	3.394
hsa-miR-4538	3.096	1.877	2.098	2.336	1.615	NA	NA	2.505	NA	2.302	NA	NA	1.467	2.345	2.519	NA	1.645	NA	2.804	NA	2.321	2.222	NA	NA	NA	1.994	2.271	NA
hsa-miR-4515	5.062	4.822	4.624	5.32	4.306	4.226	4.748	4.806	4.084	4.624	5.122	4.774	4.464	4.501	4.6	4.942	4.543	4.79	4.6	5.082	4.774	4.624	5.45	4.42	4.833	4.484	4.806	4.774
hsa-miR-30c-5p	7.182	7.889	8.309	7.574	8.057	7.55	8.127	7.987	7.55	8.276	8.309	7.889	8.127	8.528	8.766	8.276	8.648	8.528	8.127	8.057	8.198	8.439	7.929	8.528	8.478	8.648	8.648	8.357
hsa-miR-342-3p	6.564	6.902	7.003	6.154	6.774	6.968	6.657	7.385	6.774	6.633	6.443	7.413	7.51	6.719	6.902	6.203	7.077	6.606	6.932	6.803	6.774	6.064	5.773	6.689	6.39	6.414	6.803	6.041
hsa-miR-154-5p	0.737	1.558	2.413	-0.239	1.626	2.87	2.321	2.222	2.044	0.997	2.359	2.654	2.443	1.615	2.734	1.818	3.254	2.427	2.112	2.932	2.222	1.497	2.599	2.464	2.942	2.302	2.624	2.222
hsa-miR-375	NA	1.113	2.245	NA	0.383	NA	NA	4.292	1.337	2.031	2.792	2.57	3.3	2.583	3.073	2.044	2.823	3.847	2.359	3.684	4.906	3.697	4.323	2.942	3.48	4.892	4.019	3.459
hsa-miR-4257	3.673	3.577	3.28	3.155	3.037	2.538	3.096	3.367	3.471	3.048	3.394	3.428	2.804	2.858	2.87	3.404	2.427	2.505	3.155	2.976	2.287	2.882	3.416	2.932	2.834	3.22	2.87	2.538
hsa-miR-151a-3p	3.015	3.721	4.008	3.06	3.98	4.253	3.928	4.339	3.155	3.428	3.707	3.755	4.13	4.008	4.13	3.358	4.571	4.213	3.847	4.153	3.98	3.952	3.22	4.253	4.199	4.339	3.762	3.649
hsa-miR-340-5p	2.505	3.394	3.825	2.538	3.48	3.847	4.501	4.073	NA	2.87	3.917	3.331	4.059	4.167	3.834	4.045	4.373	4.339	3.358	4.045	3.742	4.033	3.428	4.571	4.734	4.515	3.588	3.684
hsa-miR-30a-3p	2.858	3.876	4.045	3.119	3.721	4.484	4.141	4.141	3.497	3.416	4.464	3.89	3.697	4.277	4.187	3.8	4.654	4.397	3.941	3.89	3.721	4.264	3.588	4.41	4.385	4.253	4.571	4.199
hsa-miR-6076	3.554	3.834	3.531	3.742	3.788	3.903	3.205	3.205	4.701	3.622	3.309	3.542	3.345	3.834	3.048	3.89	1.709	3.588	3.517	2.804	3.684	4.059	3.517	4.099	3.096	3.721	3.3	4.119
hsa-miR-4738-3p	2.87	2.222	NA	3.048	1.448	NA	NA	NA	2.287	2.683	NA	NA	NA	NA	NA	2.245	NA	NA	NA	NA	NA	0.684	NA	NA	NA	NA	NA	NA
hsa-miR-1471	3.28	0.337	NA	2.638	1.864	3.254	NA	1.32	3.06	4.253	NA	NA	NA	NA	NA	3.673	NA	NA	NA	NA	2.484	0.478	NA	NA	NA	NA	NA	NA
hsa-miR-4458	NA	0.436	NA	NA	2.336	NA	NA	NA	NA	2.245	1.29	NA	2.464	2.954	NA	NA	2.505	2.624	NA	NA	NA	2.464	NA	NA	NA	0.436	2.031	2.044
hsa-miR-96-5p	NA	0.601	NA	NA	NA	3.3	1.818	NA	3.641	NA	1.21	2.164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-423-5p	4.176	4.624	5.041	4.385	4.668	5.027	4.833	5.196	4.356	4.339	4.719	4.806	4.942	4.906	5.217	4.448	4.96	4.763	4.822	4.995	5.027	4.668	4.685	4.774	4.613	5.014	5.251	4.734
hsa-miR-21-3p	4.849	4.995	5.32	3.187	5.45	4.339	5.92	4.264	5.306	4.685	4.292	4.892	5.846	5.539	NA	4.339	3.863	4.668	5.663	2.669	3.788	3.037	2.858	4.501	6.294	2.882	4.42	6.02
hsa-miR-4417	3.531	3.416	NA	3.319	2.761	NA	2.779	1.864	5.122	3.531	3.177	3.119	1.626	1.951	NA	3.531	1.877	1.788	2.894	NA	2.749	2.669	2.583	2.413	2.964	2.779	NA	3.267
hsa-miR-1290	3.89	3.241	3.025	4.774	4.141	2.792	2.613	2.914	2.683	3.28	2.464	2.723	3.632	2.464	2.712	2.834	2.761	3.143	2.932	2.761	2.57	2.613	2.914	3.119	2.882	2.557	2.792	3.673
hsa-miR-6165	7.961	7.254	7.483	6.744	7.003	6.138	7.889	6.841	7.929	7.139	7.704	7.851	7.55	8.057	7.003	7.773	6.774	7.574	7.254	8.243	7.602	7.602	8.478	7.55	7.773	7.413	7.111	8.017
hsa-miR-100-5p	7.111	7.929	8.096	7.734	8.597	8.597	8.357	8.597	7.574	8.057	8.198	7.773	7.704	7.961	8.127	7.704	8.127	7.889	8.096	7.889	7.987	7.987	7.044	7.961	7.961	7.734	8.096	7.678
hsa-miR-937-5p	6.633	6.498	5.746	5.577	5.614	5.868	5.891	5.846	5.45	6.39	7.077	6.088	5.082	5.229	5.427	6.744	5.802	5.92	6.064	6.24	5.802	5.724	6.774	5.681	5.773	5.846	5.638	5.468
hsa-miR-145-3p	NA	NA	NA	NA	0.495	2.222	1.659	1.994	NA	NA	NA	NA	1.877	1.337	NA	NA	2.413	2.068	NA	NA	NA	1.29	NA	1.994	2.197	2.256	NA	NA
hsa-miR-122-3p	7.574	8.127	8.057	8.679	8.4	8.478	9.056	9.374	7.254	8.4	8.057	8.198	8.648	8.597	8.858	8.766	9.091	9.527	7.987	8.557	8.4	8.897	8.309	8.897	9.285	8.816	8.439	8.243
hsa-miR-335-5p	0.792	2.413	2.734	1.558	2.723	3.394	3.438	3.28	1.951	1.29	2.669	2.599	3.376	2.914	3.155	2.538	3.177	3.952	2.654	3.06	2.112	2.954	2.882	3.588	3.707	2.999	2.964	2.749
hsa-miR-340-3p	NA	0.684	2.336	-0.444	0.118	2.112	2.302	2.141	NA	0.411	2.245	1.737	2.044	1.709	2.599	1.938	2.557	2.519	1.527	3.037	1.806	1.448	NA	2.519	2.844	2.182	2.669	2.245
hsa-miR-4299	7.734	7.602	7.889	10.324	7.961	7.111	7.734	8.276	7.281	8.017	7.385	7.55	8.243	8.276	8.816	8.243	8.932	8.557	8.4	7.818	8.127	8.276	7.961	8.309	8.276	8.357	8.716	8.163
hsa-miR-497-5p	5.406	6.041	6.529	5.557	6.932	6.362	6.39	6.339	6.064	6.041	6.088	5.983	6.902	6.443	6.689	6.088	6.719	6.32	6.294	6.339	6.362	6.744	6.339	6.498	6.633	6.841	6.606	5.936
hsa-miR-23b-3p	8.163	8.816	9.212	8.557	9.012	9.253	9.012	9.13	8.528	9.091	9.285	9.13	9.056	9.329	9.527	9.056	9.169	9.253	9.253	9.434	9.329	9.285	8.897	9.169	9.091	9.253	9.253	9.13
hsa-miR-320e	5.427	5.746	6.154	4.833	5.868	6.32	5.663	6.24	5.708	5.614	5.773	5.891	5.802	5.802	6.32	5.32	6.088	6.02	6.041	6.223	6.138	5.468	5.468	5.983	5.746	6.138	6.175	5.962
hsa-miR-877-3p	0.043	0.446	NA	1.427	0.552	NA	NA	NA	1.527	-0.324	NA	NA	NA	NA	NA	1.626	NA	1.337	2.749	NA	NA	0.77	2.427	NA	1.864	0.997	NA	NA
hsa-miR-181a-5p	5.539	5.936	6.064	5.45	6.498	6.529	6.064	6.294	5.962	5.539	5.962	6.39	6.443	6.414	6.466	5.614	6.633	5.746	6.203	5.826	5.92	5.846	6.02	6.119	5.983	6.223	6.088	5.492
hsa-miR-148b-3p	3.037	3.863	4.199	2.976	4.292	4.213	4.64	4.153	3.254	3.345	3.994	3.941	4.339	4.571	4.385	3.876	5.229	4.833	4.13	4.008	3.903	4.13	3.554	4.719	4.515	4.906	4.141	3.762
hsa-miR-513c-5p	3.542	2.669	3.449	3.755	3.143	4.019	2.21	4.008	3.554	5.32	3.345	3.241	4.306	3.404	4.153	4.833	3.025	3.205	3.177	3.994	3.449	3.663	3.952	3.309	3.98	3.048	3.825	3.941
hsa-miR-378d	NA	1.512	2.443	-0.007	2.519	3.025	3.048	2.858	NA	1.558	3.195	2.336	2.393	3.394	3.449	2.126	4.153	3.89	2.044	3.254	3.331	3.531	3.131	3.086	4.008	3.788	3.438	3.037
hsa-miR-6724-5p	6.138	5.846	5.406	6.633	5.291	4.995	5.306	5.051	5.539	5.352	5.891	5.681	4.98	5.027	5.306	5.724	5.101	5.027	5.291	5.32	5.32	5.251	5.681	4.806	5.062	5.027	5.229	5.269
hsa-miR-5196-5p	0.552	1.187	NA	2.013	1.427	NA	NA	1.29	0.845	0.029	NA	NA	NA	NA	NA	1.09	NA	NA	NA	NA	1.694	1.113	NA	1.709	NA	1.258	NA	NA
hsa-miR-409-3p	2.345	2.345	2.21	0.982	2.413	3.438	2.749	2.683	NA	0.383	2.734	3.195	1.448	2.321	NA	NA	2.932	2.599	2.013	NA	1.709	2.013	NA	2.484	2.484	2.427	NA	1.806
hsa-miR-6075	1.709	1.626	1.914	2.197	0.103	NA	NA	1.512	1.32	1.659	1.497	NA	1.527	1.187	NA	1.877	NA	NA	NA	NA	1.603	1.187	2.697	1.588	NA	1.113	NA	1.749
hsa-miR-2276	3.941	4.099	3.309	4.942	3.241	NA	2.954	2.894	4.213	3.48	3.497	3.567	2.932	2.905	3.387	2.954	2.538	2.669	3.267	2.834	3.847	3.641	3.29	2.624	NA	2.749	3.025	3.319
hsa-miR-3607-3p	1.427	2.112	2.804	2.044	3.3	2.271	4.42	3.632	1.157	1.626	2.519	2.484	3.777	4.099	3.788	3.29	4.385	4.099	2.427	3.048	2.464	3.721	3.096	3.963	3.863	4.084	3.777	2.613
hsa-miR-582-5p	NA	1.806	1.806	NA	1.32	3.06	2.683	2.613	1.645	0.617	1.914	NA	3.155	0.601	NA	2.779	2.858	2.57	NA	NA	NA	2.413	NA	2.57	3.166	2.683	NA	NA
hsa-miR-18a-5p	1.21	1.725	2.519	-0.548	1.187	2.823	3.166	2.302	NA	0.563	2.375	2.624	2.359	2.823	NA	1.749	2.393	2.443	2.126	2.712	1.877	1.427	NA	2.345	2.654	3.28	2.164	2.557
hsa-miR-16-5p	9.48	9.594	9.65	9.434	9.48	9.65	9.527	9.873	9.594	9.48	9.434	9.65	9.594	9.212	9.285	9.091	9.329	9.212	9.594	9.012	9.285	9.056	8.557	9.13	9.056	9.091	9.374	9.434
hsa-miR-33b-3p	3.205	2.683	1.749	4.339	2.345	2.302	NA	1.976	NA	1.187	2.087	2.321	1.897	1.85	2.222	0.982	1.897	1.21	2.031	2.538	2.044	2.638	2.443	0.965	NA	1.467	2.599	2.21
hsa-miR-151a-5p	5.962	6.294	6.841	5.891	6.633	6.932	6.606	7.003	6.005	6.719	6.633	6.362	6.865	6.841	7.077	6.362	6.968	6.774	6.633	6.865	7.044	6.803	6.39	7.111	7.003	7.003	7.003	6.657
hsa-miR-338-5p	4.253	5.136	5.352	3.707	4.64	NA	3.847	4.084	2.613	4.515	5.027	4.98	3.554	4.806	5.492	3.06	4.008	4.059	3.928	5.136	4.995	4.6	3.928	3.8	3.834	3.903	4.167	3.963
hsa-miR-139-3p	1.864	1.788	3.048	1.588	1.806	2.964	2.761	3.471	2.21	1.497	2.345	2.914	2.792	2.942	3.941	2.302	3.542	3.195	2.834	3.376	3.241	2.345	3.319	3.025	3.28	3.345	3.428	2.583
hsa-miR-26a-5p	8.528	9.091	9.13	9.13	9.65	9.329	9.329	9.594	8.766	9.012	9.056	8.973	9.957	9.434	9.784	9.374	9.594	9.285	9.169	9.056	9.374	9.594	9.727	9.784	9.329	9.873	9.285	8.973
hsa-miR-490-5p	NA	-0.43	NA	-0.898	-0.72	NA	NA	NA	NA	-0.277	NA	NA	1.187	0.139	NA	NA	NA	NA	NA	NA	NA	-0.058	NA	NA	NA	NA	NA	NA
hsa-miR-30e-5p	6.362	6.841	6.689	5.962	6.606	6.689	7.451	6.902	6.203	6.774	7.254	7.044	7.483	7.451	6.719	7.602	7.281	7.773	6.466	7.281	7.355	7.451	7.315	7.483	7.734	7.851	7.077	7.413
hsa-miR-491-3p	2.464	2.141	3.721	-0.058	1.877	NA	1.337	2.245	NA	2.098	2.256	2.804	1.788	3.387	2.761	1.994	NA	2.164	1.397	2.87	3.577	3.497	3.195	3.233	NA	2.013	2.844	2.964
hsa-miR-1275	5.708	4.922	4.806	5.291	4.464	5.936	4.543	5.306	6.02	5.577	4.79	4.571	4.806	4.292	4.748	5.335	4.356	4.527	4.774	4.79	4.849	4.527	4.96	4.906	4.849	4.64	5.082	5.082
hsa-miR-20b-5p	4.922	5.352	5.514	4.748	5.539	5.708	5.868	6.175	4.98	5.291	5.983	5.663	6.32	6.689	6.203	6.154	6.443	6.564	5.251	5.802	6.175	6.443	6.175	6.932	6.744	6.744	5.936	6.175
hsa-miR-378a-5p	1.09	2.256	3.187	-0.664	2.613	3.663	3.037	3.177	1.448	2.697	3.876	3.205	2.245	3.928	4.111	1.897	4.583	4.253	1.818	3.98	4.045	4.045	2.999	3.509	4.501	4.226	4.292	3.777
hsa-miR-107	7.678	8.163	8.4	7.483	7.851	8.4	8.057	8.478	7.483	8.127	8.017	8.163	8.096	8.163	8.309	7.961	8.243	8.276	8.276	8.127	8.276	7.961	7.413	8.357	8.198	8.309	8.276	8.198
hsa-miR-378a-3p	7.003	7.281	7.851	6.498	7.602	8.096	7.51	7.734	6.841	7.704	8.478	7.704	7.602	8.439	8.648	7.254	8.679	8.478	7.385	8.276	8.597	8.557	8.057	8.017	8.597	8.478	8.897	8.528
hsa-miR-1227-5p	5.014	4.515	3.684	5.082	3.994	4.41	4.153	3.89	4.167	3.697	4.176	3.994	3.599	3.632	4.059	4.213	3.707	3.876	3.994	4.199	4.084	4.373	4.892	3.917	3.917	4.79	3.994	4.099
hsa-miR-423-3p	1.615	0.407	1.671	0.237	-0.324	NA	1.29	1.749	NA	-0.129	NA	NA	1.32	1.448	2.749	0.684	2.222	1.543	NA	NA	1.543	0.792	NA	1.818	1.806	1.397	2.256	1.558
hsa-miR-130a-3p	6.902	7.355	7.602	6.865	7.818	7.678	7.574	8.243	7.111	7.315	7.315	7.574	7.678	7.315	7.55	6.932	7.678	7.413	7.654	7.111	7.654	7.315	6.719	7.385	7.182	7.654	7.385	6.968
hsa-miR-654-3p	1.157	1.337	2.557	0.103	1.603	3.143	2.222	2.464	1.497	0.77	2.393	2.427	1.976	1.497	2.804	1.709	2.999	2.484	1.994	2.792	2.098	1.512	NA	2.302	2.932	2.599	2.359	2.031
hsa-miR-127-3p	3.06	3.517	3.777	1.994	4.019	3.863	3.542	3.863	3.449	2.57	3.387	4.277	3.812	3.166	3.577	2.914	4.199	3.358	3.697	3.825	3.876	3.3	3.166	3.632	3.903	3.847	3.742	2.761
hsa-miR-5195-5p	0.77	1.448	NA	1.512	1.142	NA	NA	NA	NA	1.337	NA	NA	NA	1.788	NA	1.467	NA	NA	NA	NA	2.256	3.319	NA	1.512	NA	1.187	NA	NA
hsa-let-7c	8.766	9.285	9.329	8.932	9.594	9.48	9.091	9.212	9.169	9.253	9.253	9.169	9.169	9.253	9.594	8.858	9.374	9.056	9.434	9.285	9.253	9.329	8.858	9.253	9.212	9.212	9.594	9.056
hsa-miR-557	3.721	3.649	1.85	3.015	3.155	3.876	3.952	3.588	3.48	2.484	3.742	3.319	1.615	2.197	3.404	3.48	3.588	3.777	3.107	2.942	3.143	3.358	4.613	3.622	3.957	4.236	3.416	3.721
hsa-miR-450a-5p	NA	NA	NA	NA	0.163	NA	1.725	2.823	NA	NA	NA	NA	NA	0.945	NA	1.238	2.013	1.603	NA	NA	NA	0.829	NA	1.864	2.393	2.624	NA	NA
hsa-miR-130b-3p	3.632	4.213	4.41	2.519	4.084	4.045	3.8	4.833	3.387	4.008	4.654	5.352	3.98	4.045	4.213	3.98	4.64	4.033	4.748	4.571	4.019	3.588	3.119	5.027	4.253	4.501	3.98	3.903
hsa-miR-762	6.154	5.891	5.681	5.846	5.468	5.335	5.291	5.577	5.577	6.154	5.663	5.638	5.196	5.269	5.32	5.92	5.306	5.352	5.539	5.539	5.614	5.746	5.708	5.082	5.45	5.217	5.514	5.291
hsa-miR-143-3p	2.942	3.742	3.928	3.509	5.101	5.229	4.881	5.32	3.567	3.241	3.89	4.226	5.153	4.64	3.8	4.253	5.051	4.583	3.707	4.543	4.734	5.062	4.397	5.387	4.464	5.708	3.673	3.788
hsa-miR-1915-3p	8.597	7.678	7.077	8.816	7.077	6.657	7.077	6.774	7.077	7.182	7.413	7.315	6.633	6.774	6.932	7.003	6.339	6.689	7.077	7.221	7.281	7.003	7.55	6.744	6.443	6.633	6.774	6.774
hsa-miR-514b-5p	2.375	0.617	NA	2.484	-0.41	NA	NA	NA	2.834	0.237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-652-3p	NA	0.563	2.182	-0.419	0.43	2.57	1.914	2.182	1.725	NA	NA	NA	2.141	0.337	NA	NA	2.336	NA	NA	NA	NA	NA	NA	1.337	NA	0.792	NA	NA
hsa-miR-4327	4.187	4.199	3.755	4.527	3.195	2.359	3.497	3.622	3.917	3.952	4.64	3.697	2.999	3.073	2.443	4.701	3.367	3.449	3.632	3.762	3.187	3.632	4.213	2.905	3.205	3.073	3.131	3.632
hsa-miR-4532	4.019	4.264	4.264	5.352	4.111	3.28	3.707	3.847	3.8	4.059	4.119	3.632	3.863	3.673	4.019	4.084	3.89	3.721	3.903	3.697	4.008	3.847	4.073	3.641	3.941	3.777	4.059	4.434
hsa-miR-363-3p	0.463	0.139	1.877	-0.573	0.21	3.588	2.098	3.166	2.976	0.163	1.818	3.29	1.603	2.302	NA	1.371	2.245	NA	NA	NA	2.599	0.459	NA	2.638	NA	2.942	NA	NA
hsa-miR-4665-5p	2.999	3.187	NA	4.6	1.543	NA	NA	NA	1.29	0.965	NA	1.938	NA	NA	NA	1.448	NA	NA	NA	NA	3.554	2.905	NA	NA	NA	NA	NA	NA
hsa-miR-3653	4.668	5.062	5.387	5.229	5.594	5.427	6.005	6.39	4.264	5.101	5.229	5.251	5.936	6.203	6.362	5.306	6.362	6.005	5.196	5.335	5.468	5.638	5.427	5.936	6.005	6.203	5.594	5.101
hsa-miR-4758-5p	3.762	3.755	2.393	3.367	3.107	2.519	3.267	3.3	4.527	4.881	4.199	3.345	2.988	2.749	2.779	4.199	2.976	2.942	3.394	3.131	3.29	3.073	3.917	3.037	3.438	3.131	3.254	3.428
hsa-miR-24-3p	8.557	9.012	9.012	8.439	8.973	9.285	8.766	8.858	8.716	8.716	8.932	9.212	8.858	8.858	8.716	8.597	8.816	8.816	9.091	8.932	9.13	8.716	8.4	8.766	8.528	8.858	8.679	8.716
hsa-miR-30b-5p	8.716	9.13	9.056	8.648	9.253	8.679	9.253	9.253	8.478	8.858	9.091	8.932	9.434	9.13	9.212	9.169	9.253	9.091	8.973	8.897	9.091	9.374	8.766	9.285	9.434	9.374	9.212	8.816
hsa-miR-3679-5p	5.217	5.153	4.79	5.773	5.051	4.849	4.701	4.654	6.041	4.822	4.583	4.583	4.701	4.515	4.734	4.892	4.292	4.6	4.942	4.41	4.881	4.774	4.748	4.624	4.373	4.527	4.774	5.062
hsa-miR-197-3p	3.119	2.914	3.994	2.427	3.28	3.697	3.48	3.663	3.29	3.06	3.131	3.641	3.61	3.187	3.61	2.761	3.847	3.509	4.264	4.073	3.509	2.697	3.641	3.195	3.697	3.697	3.876	3.531
hsa-miR-3195	5.387	5.041	5.101	5.663	4.654	5.041	5.387	4.906	5.663	6.466	5.306	5.269	4.995	5.306	4.553	5.802	5.406	5.492	5.027	5.468	5.082	4.833	5.724	5.539	5.826	5.335	5.176	5.539
hsa-miR-4499	4.41	4.543	3.952	4.484	4.13	3.941	4.059	4.277	5.368	4.226	4.213	4.153	3.742	3.812	4.292	4.42	3.876	4.073	4.292	3.963	4.434	4.226	4.515	4.264	4.356	4.397	4.199	4.385
hsa-let-7e-5p	5.936	6.443	6.719	5.868	7.315	7.602	6.633	6.968	7.221	6.606	6.689	6.865	7.003	6.223	6.841	6.32	6.841	6.466	6.968	6.841	6.841	6.414	5.983	6.633	6.529	6.803	6.865	6.203
hsa-let-7g-5p	9.212	9.48	9.48	9.169	9.329	9.594	9.374	9.784	9.285	9.329	9.48	9.48	9.873	9.169	8.932	9.212	9.285	9.169	9.329	9.48	9.527	9.13	8.716	9.48	9.48	9.329	9.329	9.169
hsa-miR-6124	6.968	6.719	6.339	7.254	6.719	5.983	6.203	6.414	7.851	7.929	6.606	6.272	6.529	6.39	6.564	7.111	6.223	6.443	6.414	6.414	6.24	6.689	7.221	6.138	6.138	6.02	6.362	6.689
hsa-miR-4725-5p	NA	1.749	2.087	0.617	0.543	3.241	NA	NA	NA	0.337	NA	NA	NA	1.818	2.182	NA	NA	NA	1.897	NA	NA	NA	2.669	NA	NA	0.463	1.951	NA
hsa-miR-374a-5p	5.122	5.983	6.005	5.492	6.223	6.119	6.932	6.443	4.906	5.306	5.826	5.826	6.657	6.064	6.005	6.064	6.39	6.272	5.868	5.868	6.041	6.154	5.027	6.272	6.498	6.529	5.724	5.638
