	US10063773_254606410403_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606411109_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_2 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410403_S01_miRNA_107_Sep09_2_3 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_4 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_4 - 1
hsa-miR-6132	4.13	4.019	4.306	4.045	3.394	4.654	3.963	5.153	4.277	5.594	4.543	4.099	4.373	4.019	4.701	5.122	4.084	4.045	4.111	4.624	4.277	3.812	5.306	4.434	4.64	4.323	4.613	4.553
hsa-miR-5701	NA	1.397	1.725	0.552	2.068	NA	2.599	2.964	NA	1.671	2.141	1.142	2.834	3.48	3.428	2.464	3.131	2.761	NA	NA	2.792	2.844	NA	3.073	3.015	3.086	3.048	NA
hsa-miR-193b-5p	1.238	1.914	2.905	1.543	1.725	2.894	2.031	2.669	2.245	3.073	2.654	2.359	2.538	2.976	3.254	2.613	2.669	2.712	2.336	3.195	2.723	2.098	3.048	3.187	2.858	3.233	3.155	3.015
hsa-miR-3125	3.697	4.277	4.213	3.649	4.6	4.373	3.762	3.876	3.777	4.64	4.033	3.8	4.236	4.464	4.306	3.459	4.111	4.153	4.236	4.13	4.033	4.448	3.903	3.649	3.622	3.812	4.356	4.153
hsa-miR-138-2-3p	1.694	1.85	3.131	3.917	3.622	NA	3.319	3.731	2.712	2.988	2.302	2.964	4.501	4.774	4.434	2.894	3.788	3.096	3.577	3.107	2.942	4.501	3.542	2.858	3.267	3.358	4.153	3.834
hsa-miR-185-5p	4.515	4.849	5.027	4.167	4.571	5.136	4.942	5.251	4.6	4.385	4.763	5.217	4.881	4.484	4.527	4.153	5.062	4.613	4.862	4.654	4.624	3.994	3.241	4.668	4.583	4.571	4.385	4.685
hsa-miR-5580-3p	2.321	2.013	3.096	1.864	1.914	NA	1.427	2.557	NA	2.112	2.427	NA	2.761	2.723	3.3	1.512	2.723	1.938	2.712	NA	2.613	2.164	3.358	1.659	NA	2.359	2.112	NA
hsa-miR-4689	4.527	4.306	3.834	3.721	3.254	3.762	3.517	3.438	4.153	4.13	4.613	3.876	2.976	3.015	3.119	4.881	3.641	3.663	3.61	3.788	3.404	3.599	3.941	3.155	3.531	3.015	3.509	3.731
hsa-miR-1261	2.712	2.068	2.712	0.407	1.558	NA	NA	NA	NA	2.654	1.694	2.375	NA	2.638	NA	1.671	NA	1.914	NA	NA	2.302	2.484	3.025	2.271	NA	1.897	NA	2.098
hsa-miR-381-3p	1.142	1.615	2.654	-0.408	3.06	3.131	2.112	2.164	1.512	1.113	2.164	2.669	2.112	2.519	2.624	1.788	3.567	2.345	2.068	3.119	2.538	2.683	2.538	2.321	3.22	3.331	2.779	2.256
