"","miRNA","mRNA","pearson-cor","p-value"
"36","hsa-miR-215","48","0.505119233863537","0.165433718277796"
"37","hsa-miR-215","49","0.801022626602745","0.00946684768229041"
"38","hsa-miR-215","50","0.386773579272031","0.303803048319876"
"39","hsa-miR-215","51","0.619407495346675","0.0752521803910949"
"40","hsa-miR-215","52","0.294140824639224","0.442319746464802"
"41","hsa-miR-215","53","0.756068430923863","0.0184173818557376"
"42","hsa-miR-215","54","0.25722166767888","0.504030535915136"
"43","hsa-miR-215","59","-0.232654750144443","0.546901132488368"
"44","hsa-miR-215","60","-0.358639740930831","0.343233996282866"
"45","hsa-miR-215","71","-0.259271746704687","0.500516035513721"
"46","hsa-miR-215","72","0.371395718110425","0.325058578105752"
"47","hsa-miR-215","81","-0.245031348393751","0.525131774057523"
"48","hsa-miR-215","86","0.222571258822815","0.564884623492213"
"49","hsa-miR-215","87","-0.526812529343607","0.14505042888225"
"50","hsa-miR-215","88","-0.401067616091801","0.284700378270963"
"51","hsa-miR-215","90","-0.114196702243149","0.769873764194278"
"52","hsa-miR-215","91","-0.337909404634386","0.373798549264762"
"53","hsa-miR-215","92","-0.0733781483222679","0.851184371738028"
"54","hsa-miR-215","93","-0.216586467360316","0.575659778251413"
"55","hsa-miR-215","94","-0.186090837235252","0.631669243367068"
"56","hsa-miR-215","95","0.335472758245972","0.37747297482469"
"57","hsa-miR-215","97","0.542794975921306","0.131025439799078"
"58","hsa-miR-215","98","0.709612626342046","0.0322510550155504"
"59","hsa-miR-215","100","-0.335384042985746","0.377607076559499"
"60","hsa-miR-215","101","-0.514923670377202","0.156028825648117"
"61","hsa-miR-215","102","-0.146898477376284","0.706070224095612"
"62","hsa-miR-215","103","-0.0556259886904386","0.886971460920372"
"63","hsa-miR-215","104","0.137582147561227","0.724103524834229"
"64","hsa-miR-215","105","0.445160852050667","0.229853493130169"
"65","hsa-miR-215","107","0.363255338596868","0.336601125052525"
"66","hsa-miR-215","108","0.779312683821443","0.0132955923880189"
"67","hsa-miR-215","109","-0.170616769744683","0.66074398138201"
"68","hsa-miR-215","111","0.381160328455319","0.311477851831169"
"69","hsa-miR-215","112","0.625343845868395","0.0716992820185725"
"70","hsa-miR-215","113","0.35689451149569","0.345758505769861"
"71","hsa-miR-215","115","0.353178825694337","0.351163353373119"
"72","hsa-miR-215","117","-0.628631006066591","0.0697778648738835"
"73","hsa-miR-215","118","0.00132335339010056","0.997304090545681"
"74","hsa-miR-215","120","0.282848390882196","0.460832051531458"
"75","hsa-miR-215","123","0.898351727965465","0.000996938676282141"
"76","hsa-miR-215","124","0.129335397215348","0.740165332453208"
"77","hsa-miR-215","125","-0.0424515682836275","0.913648146287546"
"78","hsa-miR-215","126","-0.0312960352845378","0.936296255066746"
"79","hsa-miR-215","127","0.201268042974703","0.603570207449533"
